uM/rel.area	Acetic acid	Propionic acid	Butyric acid
0	0.0	0.0	0.0
250	0.4062552908728899	0.46455847904247755	0.25019645816090996
250	0.3218921072497297	0.42878950268407906	0.2557701125008305
250	0.44446146898979	0.5251098814698059	0.3292543205601476
500	0.6472147864767323	0.7208123162803567	0.5846798191366576
500	0.6585677626718999	0.7148084742208647	0.5356902887533673
500	0.6340205015034531	0.7099513073381132	0.5582940944542286
1000	1.4266546735724535	1.4476634278539886	1.3948984774868614
1000	1.555709323391961	1.564064112734101	1.3918437400037091
1000	1.3826694349815734	1.1831956968786783	1.3316046642267432
2500	3.6175157199161485	3.5824145143694115	3.938293853340372
2500	3.8291135198632067	3.806185582288802	3.670048808364306
2500	3.7781270943754586	3.3410672816304183	4.169990891342051
3750	5.440387534525325	5.56041334290527	6.330942001816829
3750	5.732702444528195	5.664896686320637	6.401415081852875
3750	5.948897954895025	5.555564701499114	6.768524966525275
5000	7.455041891511815	7.244845749829191	8.997430564579371
5000	7.762367820195497	7.816905461429455	9.078621794432708
5000	7.8040814733541914	7.8633230744667975	9.219138897530714
10000	14.842174354976024		
10000	15.301445080943198		
10000	15.510405637806628		
