uM/rel.area	Formic acid	Isobutyric acid	Isovaleric acid
0	0.0	0.0	0.0
25	0.03676409954700109	0.020293726710442543	0.06915028568970621
25	0.02345682945952542	0.018080692080326706	0.07380886059861563
25	0.028799949099941987	0.030693360736187718	0.07085678965062808
50	0.05570027099582815	0.04624371440610906	0.15567697276760323
50	0.04426988646318583	0.04350025384029014	0.13646644410864345
50	0.051138799645489535	0.041979478078643245	0.15069970834768162
100	0.11228299824431126	0.1131916534112827	0.28908221533505024
100	0.11603921721482244	0.11805827304737437	0.2921247653228433
100	0.11070016099599336	0.10840233572417479	0.2965890053271302
250	0.2493228679868591	0.2942239691566998	0.7446049780300221
250	0.27191458700695825	0.3120524214762614	0.764194932951883
250	0.2376990277545026	0.3177252032033593	0.7838131677045279
375	0.3805378802808005	0.4705615285485429	1.0796127854630442
375	0.3831021946822727	0.4672546673224947	1.1942026109632695
375	0.4058808069778619	0.5097297853743177	1.192390456956901
500	0.4768877509719678	0.6588251405418519	1.5382643213700031
500	0.5003128193881803	0.6582420403413918	1.5952829964926343
500	0.5015215362411553	0.6672347536839545	1.6201472022361576
